X,Y,Z,C,,
166.823,-168.25,3275,90,,
166.823,-168.25,3274.8,90,,
166.823,-168.25,3274.6,90,,
166.823,-168.25,3274.4,90,,
166.823,-168.25,3274.2,90,,
166.823,-168.25,3274,90,,
166.823,-168.25,3273.8,90,,
166.823,-168.25,3273.6,90,,
166.823,-168.25,3273.4,90,,
166.823,-168.25,3273.2,90,,
166.823,-168.25,3273,90,,
166.823,-168.25,3272.8,90,,
166.823,-168.25,3272.6,90,,
166.823,-168.25,3272.4,90,,
166.823,-168.25,3272.2,90,,
166.823,-168.25,3272,90,,
166.823,-168.25,3271.8,90,,
166.823,-168.25,3271.6,90,,
166.823,-168.25,3271.4,90,,
166.823,-168.25,3271.2,90,,
166.823,-168.25,3271,90,,
166.823,-168.25,3270.8,90,,
166.823,-168.25,3270.6,90,,
166.823,-168.25,3270.4,90,,
166.823,-168.25,3270.2,90,,
166.823,-168.25,3270,90,,
166.823,-168.25,3269.8,90,,
166.823,-168.25,3269.6,90,,
166.823,-168.25,3269.4,90,,
166.823,-168.25,3269.2,90,,
166.823,-168.25,3269,90,,
166.823,-168.25,3268.8,90,,
166.823,-168.25,3268.6,90,,
166.823,-168.25,3268.4,90,,
166.823,-168.25,3268.2,90,,
166.823,-168.25,3268,90,,
166.823,-168.25,3267.8,90,,
166.823,-168.25,3267.6,90,,
166.823,-168.25,3267.4,90,,
166.823,-168.25,3267.2,90,,
166.823,-168.25,3267,90,,
166.823,-168.25,3266.8,90,,
166.823,-168.25,3266.6,90,,
166.823,-168.25,3266.4,90,,
166.823,-168.25,3266.2,90,,
166.823,-168.25,3266,90,,
166.823,-168.25,3265.8,90,,
166.823,-168.25,3265.6,90,,
166.823,-168.25,3265.4,90,,
166.823,-168.25,3265.2,90,,
166.823,-168.25,3265,90,,
166.823,-168.25,3264.8,90,,
166.823,-168.25,3264.6,90,,
166.823,-168.25,3264.4,90,,
166.823,-168.25,3264.2,90,,
166.823,-168.25,3264,90,,
166.823,-168.25,3263.8,90,,
166.823,-168.25,3263.6,90,,
166.823,-168.25,3263.4,90,,
166.823,-168.25,3263.2,90,,
166.823,-168.25,3263,90,,
166.823,-168.25,3262.8,90,,
166.823,-168.25,3262.6,90,,
166.823,-168.25,3262.4,90,,
166.823,-168.25,3262.2,90,,
166.823,-168.25,3262,90,,
166.823,-168.25,3261.8,90,,
166.823,-168.25,3261.6,90,,
166.823,-168.25,3261.4,90,,
166.823,-168.25,3261.2,90,,
166.823,-168.25,3261,90,,
166.823,-168.25,3260.8,90,,
166.823,-168.25,3260.6,90,,
166.823,-168.25,3260.4,90,,
166.823,-168.25,3260.2,90,,
166.823,-168.25,3260,90,,
166.823,-168.25,3259.8,90,,
166.823,-168.25,3259.6,90,,
166.823,-168.25,3259.4,90,,
166.823,-168.25,3259.2,90,,
166.823,-168.25,3259,90,,
166.823,-168.25,3258.8,90,,
166.823,-168.25,3258.6,90,,
166.823,-168.25,3258.4,90,,
166.823,-168.25,3258.2,90,,
166.823,-168.25,3258,90,,
166.823,-168.25,3257.8,90,,
166.823,-168.25,3257.6,90,,
166.823,-168.25,3257.4,90,,
166.823,-168.25,3257.2,90,,
166.823,-168.25,3257,90,,
166.823,-168.25,3256.8,90,,
166.823,-168.25,3256.6,90,,
166.823,-168.25,3256.4,90,,
166.823,-168.25,3256.2,90,,
166.823,-168.25,3256,90,,
166.823,-168.25,3255.8,90,,
166.823,-168.25,3255.6,90,,
166.823,-168.25,3255.4,90,,
166.823,-168.25,3255.2,90,,
166.823,-168.25,3255,90,,
166.823,-168.25,3254.8,90,,
166.823,-168.25,3254.6,90,,
166.823,-168.25,3254.4,90,,
166.823,-168.25,3254.2,90,,
166.823,-168.25,3254,90,,
166.823,-168.25,3253.8,90,,
166.823,-168.25,3253.6,90,,
166.823,-168.25,3253.4,90,,
166.823,-168.25,3253.2,90,,
166.823,-168.25,3253,90,,
166.823,-168.25,3252.8,90,,
166.823,-168.25,3252.6,90,,
166.823,-168.25,3252.4,90,,
166.823,-168.25,3252.2,90,,
166.823,-168.25,3252,90,,
166.823,-168.25,3251.8,90,,
166.823,-168.25,3251.6,90,,
166.823,-168.25,3251.4,90,,
166.823,-168.25,3251.2,90,,
